,title,artist,rank,date,weeks
309,Mojo Workout (Dance),Larry Bright,100,1960-05-16,1
310,A Rockin' Good Way (To Mess Around And Fall In Love),Dinah Washington & Brook Benton,61,1960-05-23,1
311,Won't You Come Home Bill Bailey,Bobby Darin,62,1960-05-23,1
312,My Home Town,Paul Anka,74,1960-05-23,1
313,Jealous Of You (Tango Della Gelosia),Connie Francis,75,1960-05-23,1
314,"Please Help Me, I'm Falling",Hank Locklin,77,1960-05-23,1
315,Mule Skinner Blues,The Fendermen,80,1960-05-23,1
316,Walking The Floor Over You,Pat Boone,84,1960-05-23,1
317,Because They're Young,Duane Eddy And The Rebels,85,1960-05-23,1
318,Runaround,The Fleetwoods,88,1960-05-23,1
319,I Really Don't Want To Know,Tommy Edwards,94,1960-05-23,1
320,Down The Aisle,Ike Clanton,95,1960-05-23,1
321,Big Boy Pete,The Olympics,97,1960-05-23,1
322,Shadows Of Love,LaVern Baker,98,1960-05-23,1
323,Found Love,Jimmy Reed,99,1960-05-23,1
324,Lonely Winds,The Drifters,100,1960-05-23,1
325,I'm Sorry,Brenda Lee,76,1960-05-30,1
326,Down Yonder,Johnny And The Hurricanes,81,1960-05-30,1
327,"River, Stay 'Way From My Door",Frank Sinatra,82,1960-05-30,1
328,Alley-Oop,Hollywood Argyles,85,1960-05-30,1
329,Spring Rain,Pat Boone,86,1960-05-30,1
330,Heartbreak (It's Hurtin' Me),Little Willie John,90,1960-05-30,1
331,Alley-Oop,Dante and the Evergreens,94,1960-05-30,1
332,Comin' Down With Love,Mel Gadson,95,1960-05-30,1
333,When Will I Be Loved,The Everly Brothers,96,1960-05-30,1
334,Something Happened,Paul Anka,98,1960-05-30,1
335,Ain't Gonna Be That Way,Marv Johnson,99,1960-05-30,1
336,Maria,Johnny Mathis,100,1960-05-30,1
337,That's All You Gotta Do,Brenda Lee,78,1960-06-06,1
338,Only The Lonely (Know How I Feel),Roy Orbison,88,1960-06-06,1
339,Hey Little One,Dorsey Burnette,89,1960-06-06,1
340,Train Of Love,Annette With The Afterbeats,90,1960-06-06,1
341,Alley-Oop,The Dyna-Sores,92,1960-06-06,1
342,Heartbreak (It's Hurtin' Me),Jon Thomas and Orchestra,93,1960-06-06,1
343,Image Of A Girl,Safaris with The Phantom's Band,95,1960-06-06,1
344,Banjo Boy,Jan And Kjeld,96,1960-06-06,1
345,Biology,Danny Valentino,97,1960-06-06,1
346,La Montana (If She Should Come To You),Roger Williams,98,1960-06-06,1
347,The Yen Yet Song,Gary Cane And His Friends,99,1960-06-06,1
348,One Of Us (Will Weep Tonight),Patti Page,100,1960-06-06,1
349,Mister Lonely,The Videls,76,1960-06-13,1
350,Tuxedo Junction,Frankie Avalon,82,1960-06-13,1
351,Mission Bell,Donnie Brooks,84,1960-06-13,1
352,Tell Laura I Love Her,Ray Peterson,86,1960-06-13,1
353,All The Love I've Got,Marv Johnson,87,1960-06-13,1
354,Banjo Boy,Dorothy Collins,88,1960-06-13,1
355,Where Are You,Frankie Avalon,89,1960-06-13,1
356,Trouble In Paradise,The Crests,90,1960-06-13,1
357,Is A Blue Bird Blue,Conway Twitty,93,1960-06-13,1
358,There's Something On Your Mind (Part 2),Bobby Marchan,99,1960-06-13,1
359,Banjo Boy,Art Mooney And His Orchestra,100,1960-06-13,1
360,Walking To New Orleans,Fats Domino,57,1960-06-20,1
361,I'm Gettin' Better,Jim Reeves,60,1960-06-20,1
362,Look For A Star,Deane Hawley,85,1960-06-20,1
363,"Wake Me, Shake Me",The Coasters,87,1960-06-20,1
364,Look For A Star,Garry Miles,88,1960-06-20,1
365,This Bitter Earth,Dinah Washington,89,1960-06-20,1
366,Look For A Star,Billy Vaughn And His Orchestra,92,1960-06-20,1
367,I Can't Help It,Adam Wade,94,1960-06-20,1
368,Bad Man Blunder,The Kingston Trio,95,1960-06-20,1
369,Is There Any Chance,Marty Robbins,97,1960-06-20,1
370,Feel So Fine,Johnny Preston,98,1960-06-20,1
371,Look For A Star - Part I,Garry Mills,99,1960-06-20,1
372,Josephine,Bill Black's Combo,71,1960-06-27,1
373,Question,Lloyd Price and His Orchestra,85,1960-06-27,1
374,You've Got The Power,James Brown And The Famous Flames,86,1960-06-27,1
375,There's A Star Spangled Banner Waving #2 (The Ballad Of Francis Powers),Red River Dave,89,1960-06-27,1
376,Sticks And Stones,Ray Charles and his Orchestra,92,1960-06-27,1
377,Don't Come Knockin',Fats Domino,96,1960-06-27,1
378,You Were Born To Be Loved,Billy Bland,97,1960-06-27,1
379,I've Been Loved Before,Shirley and Lee,98,1960-06-27,1
380,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,59,1960-07-04,1
381,My Tani,The Brothers Four,78,1960-07-04,1
382,Johnny Freedom,Johnny Horton,82,1960-07-04,1
383,One Boy,Joanie Sommers,91,1960-07-04,1
384,Do You Mind?,Andy Williams,93,1960-07-04,1
385,I Shot Mr. Lee,The Bobbettes,95,1960-07-04,1
386,Second Honeymoon,Johnny Cash,96,1960-07-04,1
387,Too Young To Go Steady,Connie Stevens,98,1960-07-04,1
388,Over The Rainbow,The Demensions,100,1960-07-04,1
389,I'll Be There,Bobby Darin,79,1960-07-11,1
390,(You Were Made For) All My Love,Jackie Wilson,80,1960-07-11,1
